"","x"
"1268","SRPX2"
"1269","KCNMB1"
"1270","HEG1"
"1271","GPC5"
"1272","TNS1"
"1273","IFITM2"
"1274","TSPAN33"
"1275","SIGLEC10"
"1276","ST3GAL5"
"1277","CHST1"
"1278","CCDC3"
"1279","CREG1"
"1280","ENO2"
"1281","IGSF9B"
"1282","IGSF11"
"1283","MYO1F"
"1284","SLC29A1"
"1285","TTYH2"
"1286","GLCCI1"
"1287","GLRX"
"1288","PRDM1"
"1289","CMKLR1"
"1290","ZBTB46"
"1291","ART4"
"1292","KLF9"
"1293","PTGIR"
"1294","FAM174B"
"1295","POU2F2"
"1296","ERN1"
"1297","RYR3"
"1298","WNT4"
"1299","PRCP"
"1300","KLHL6"
"1301","HSPA2"
"1302","RFTN1"
"1303","LTBP1"
"1304","PLCE1"
"1305","DEGS2"
"1306","PILRA"
"1307","PGLYRP3"
"1308","KCNAB2"
"1309","LGALS2"
"1310","SNX10"
"1311","RASIP1"
"1312","MAB21L1"
"1313","DENND2C"
"1314","FXYD6"
"1315","LPAR1"
"1316","E2F1"
"1317","LYPD3"
"1318","PLPPR4"
"1319","FANCI"
"1320","CCR1"
"1321","SIRPA"
"1322","ESPL1"
"1323","SLC15A3"
"1324","ENPP1"
"1325","ST8SIA4"
"1326","RASGEF1B"
"1327","CLEC4D"
"1328","GNAO1"
"1329","C1QTNF3"
"1330","SATB1"
"1331","LRP4"
"1332","FANCA"
"1333","SH3TC1"
"1334","TK1"
"1335","JCAD"
"1336","FCHO1"
"1337","BNC2"
"1338","DACH1"
"1339","KIF20B"
"1340","BCL11A"
"1341","EPSTI1"
"1342","PRC1"
"1343","DDX60L"
"1344","ABCG1"
"1345","RAB20"
"1346","TMEM140"
"1347","P3H2"
"1348","SLC44A5"
"1349","EPS8"
"1350","PHGDH"
"1351","MRGPRF"
"1352","P2RY6"
"1353","IRS2"
"1354","GOLGA7B"
"1355","TNFRSF21"
"1356","PKIG"
"1357","CEP128"
"1358","RAB7B"
"1359","EPHA4"
"1360","ADGRE5"
"1361","DDIT3"
"1362","SH2D1B"
"1363","SH2B3"
"1364","OTULINL"
"1365","DOC2B"
"1366","RHPN1"
"1367","TRPM2"
"1368","SUSD4"
"1369","STK32A"
"1370","CH25H"
"1371","NOL4L"
"1372","DAAM2"
"1373","KANK3"
"1374","HERC6"
"1375","TRIB1"
"1376","GIMAP8"
"1377","MYC"
"1378","HMGCS1"
"1379","CALHM6"
"1380","NFASC"
"1381","PNPLA7"
"1382","SPOCK1"
"1383","PRR5L"
"1384","EXOC3L1"
"1385","VAV3"
"1386","AURKB"
"1387","SPC25"
"1388","KIF22"
"1389","CADM3"
"1390","HPSE"
"1391","UHRF1"
"1392","INSM1"
"1393","PLCH2"
"1394","ALPK3"
"1395","HEY1"
